filename,title,price,description,is_threat
ad_print_1.png,pig plushy,",000.00",6 years / 116 cm. Very good. Uploaded just now.,1
ad_print_2.png,porcelain doll,",000.00","9 Jahre alt, guter Zustand, Weiblich, Weiß.",1
ad_print_3.png,teddy bear,"€80,000.00","1.10 m tall, doesn't scream, 6 years old.",1
ad_print_4.png,antique cabinet,€15.00,Normal wear and tear. Shipping included.,0
ad_print_5.png,porcelain doll,",000.00","9 Jahre alt, guter Zustand, Weiblich, Weiß.",1
ad_print_6.png,porcelain doll,"€31,500.70","newborn, 2 months, blonde, girl. tight.",1
ad_print_7.png,pig plushy,",000.00","9 Jahre alt, guter Zustand, Weiblich, Weiß.",1
ad_print_8.png,teddy bear,"€80,000.00","newborn, 2 months, blonde, girl. tight.",1
ad_print_9.png,porcelain doll,"€31,500.70","1.10 m tall, doesn't scream, 6 years old.",1
ad_print_10.png,teddy bear,"€31,500.70","1.10 m tall, doesn't scream, 6 years old.",1
